X1,X2,X3,X4,X5,X6,X7,X8,Y
5.5923,5.4837,12.6800,11.6113,11.6113,11.6113,11.6113,11.6113,-5059.7707
46.5007,4.9949,3.9522,4.9938,4.9938,4.9938,4.9938,4.9938,-13667.6179
30.9716,3.1138,6.5462,23.6864,23.6864,23.6864,23.6864,23.6864,-24636.8763
21.5048,8.2872,11.6125,-3.8978,-3.8978,-3.8978,-3.8978,-3.8978,-4257.1332
-9.9227,6.7195,8.7134,9.7507,9.7507,9.7507,9.7507,9.7507,-4389.6830
-9.9244,11.3884,12.8171,13.9078,13.9078,13.9078,13.9078,13.9078,-10267.0537
-16.8761,1.3853,16.3793,18.5459,18.5459,18.5459,18.5459,18.5459,-16038.1095
40.4985,8.7264,2.8647,3.0579,3.0579,3.0579,3.0579,3.0579,-6943.0706
21.6792,10.1554,12.3531,13.4161,13.4161,13.4161,13.4161,13.4161,-10781.3560
29.2732,10.1138,4.6855,-0.7815,-0.7815,-0.7815,-0.7815,-0.7815,-1472.5385
-19.5385,11.6329,7.6316,4.1126,4.1126,4.1126,4.1126,4.1126,-2163.8892
47.8636,9.7484,1.5258,21.1382,21.1382,21.1382,21.1382,21.1382,-49425.1744
38.1034,12.1337,3.1745,23.1466,23.1466,23.1466,23.1466,23.1466,-32130.4600
-5.9239,4.9919,6.1164,14.5962,14.5962,14.5962,14.5962,14.5962,694.7128
-8.0904,7.0385,6.4718,1.8510,1.8510,1.8510,1.8510,1.8510,-2817.1678
-7.9783,1.1690,15.3934,18.3421,18.3421,18.3421,18.3421,18.3421,-7429.1122
0.6012,1.0835,12.8690,-11.0429,-11.0429,-11.0429,-11.0429,-11.0429,-4610.6324
16.2577,3.8815,16.5549,-8.1984,-8.1984,-8.1984,-8.1984,-8.1984,-7832.7984
9.6681,2.2097,10.5851,12.4708,12.4708,12.4708,12.4708,12.4708,-8093.5114
-0.3227,4.1225,4.8674,-1.2238,-1.2238,-1.2238,-1.2238,-1.2238,-760.1389
22.4416,3.1245,6.2425,23.2013,23.2013,23.2013,23.2013,23.2013,-13679.3434
-11.0959,1.3422,6.1174,4.1342,4.1342,4.1342,4.1342,4.1342,-68.1203
-0.2577,11.9116,6.2239,3.8865,3.8865,3.8865,3.8865,3.8865,115.2654
5.0117,1.0987,11.7674,13.0889,13.0889,13.0889,13.0889,13.0889,-1827.4745
